slug;rubrik;prio;quelle;typ;cluster_vorschlag;rubrik_final;slug_final
finanzdienstleister-software;Finanzdienstleister Software;1;capterra;software;Weitere Branchen;Finanzdienstleister Software;finanzdienstleister-software
finanzrisikomanagement-software;Finanzrisikomanagement Software;1;capterra;software;Finanzen & Buchhaltung;Finanzrisikomanagement Software;finanzrisikomanagement-software
finanzverwaltungssoftware;Finanzverwaltungssoftware;1;capterra;software;Finanzen & Buchhaltung;Finanzverwaltungssoftware;finanzverwaltungssoftware
firewall-software;Firewall-Software;1;beide;software;IT, Security & Infrastruktur;Firewall-Software;firewall-software
firmensekretaer-software;Firmensekretär Software;1;capterra;software;Weitere Software;Firmensekretär Software;firmensekretaer-software
fitnessstudio-software;Fitnessstudio Software;1;capterra;software;Gastro, Hotel & Freizeit;Fitnessstudio Software;fitnessstudio-software
fitnessstudio-verwaltungssoftware;Fitnessstudio Verwaltungssoftware;1;capterra;software;Gastro, Hotel & Freizeit;Fitnessstudio Verwaltungssoftware;fitnessstudio-verwaltungssoftware
flaechen-und-raumverwaltung-software;Flächen und Raumverwaltung Software;1;capterra;software;Produktion & Supply Chain;Flächen und Raumverwaltung Software;flaechen-und-raumverwaltung-software
fleet-tracking;Fleet Tracking;3;omr;software;Mobilität & Fahrzeuge;Fahrzeugortung;fahrzeugortung
floristen-software;Floristen Software;1;capterra;software;Industrie, Agrar & Energie;Floristen Software;floristen-software
flowchart-software;Flowchart Software;1;capterra;software;Design & Kreativ;Flowchart Software;flowchart-software
foerdermittelverwaltung-software;Fördermittelverwaltung Software;1;capterra;software;Weitere Software;Fördermittelverwaltung Software;foerdermittelverwaltung-software
fondsbuchhaltung-software;Fondsbuchhaltung Software;1;capterra;software;Finanzen & Buchhaltung;Fondsbuchhaltung Software;fondsbuchhaltung-software
food-truck-pos-systeme;Food Truck POS Systeme;2;capterra;software;Finanzen & Buchhaltung;Food Truck POS Systeme;food-truck-pos-systeme
formular-generator;Formular Generator;2;capterra;software;Weitere Software;Formular Generator;formular-generator
forstsoftware;Forstsoftware;1;capterra;software;Industrie, Agrar & Energie;Forstsoftware;forstsoftware
fotobearbeitungsprogramme;Fotobearbeitungsprogramme;2;beide;software;Design & Kreativ;Fotobearbeitungsprogramme;fotobearbeitungsprogramme
fotostudio-software;Fotostudio-Software;1;capterra;software;Weitere Branchen;Fotostudio-Software;fotostudio-software
fracht-software;Fracht Software;1;capterra;software;Produktion & Supply Chain;Fracht Software;fracht-software
franchise-software;Franchise Software;1;capterra;software;Weitere Branchen;Franchise Software;franchise-software
freelance-platforms;Freelance Platforms;2;omr;software;Weitere Software;Freelancer-Plattformen;freelancer-plattformen
freelance-tax;Freelance Tax;3;omr;software;Weitere Software;Steuer für Selbstständige;steuer-fuer-selbststaendige
freiwilligenmanagement-software;Freiwilligenmanagement-Software;1;capterra;software;Non-Profit, Kirche & Verein;Freiwilligenmanagement-Software;freiwilligenmanagement-software
friedhofssoftware;Friedhofssoftware;1;capterra;software;Öffentlicher Sektor & Sicherheit;Friedhofssoftware;friedhofssoftware
friseur-software;Friseur Software;1;capterra;software;Gastro, Hotel & Freizeit;Friseur Software;friseur-software
frontend-management-platforms;Frontend Management Platforms;2;omr;software;Weitere Software;Frontend-Management-Plattformen;frontend-management-plattformen
fuhrparkmanagement-software;Fuhrparkmanagement Software;1;beide;software;Mobilität & Fahrzeuge;Fuhrparkmanagement Software;fuhrparkmanagement-software
fuhrparkwartung-software;Fuhrparkwartung Software;1;capterra;software;Mobilität & Fahrzeuge;Fuhrparkwartung Software;fuhrparkwartung-software
fundbuero-software;Fundbüro Software;1;capterra;software;Öffentlicher Sektor & Sicherheit;Fundbüro Software;fundbuero-software
fundraising-software;Fundraising-Software;1;beide;software;Non-Profit, Kirche & Verein;Fundraising-Software;fundraising-software
funnel-builder;Funnel Builder;2;omr;software;Marketing & SEO;Funnel-Builder;funnel-builder
galabau-software;GaLaBau Software;1;capterra;software;Bau & Handwerk;GaLaBau Software;galabau-software
game-development-software;Game Development Software;1;capterra;software;IT, Security & Infrastruktur;Game Development Software;game-development-software
gamification-apps;Gamification Apps;2;beide;software;Marketing & SEO;Gamification Apps;gamification-apps
gantt-software;Gantt Software;1;capterra;software;Projekte & Zusammenarbeit;Gantt Software;gantt-software
garantie-software;Garantie Software;1;capterra;software;E-Commerce & Handel;Garantie Software;garantie-software
gartenbau-software;Gartenbau Software;1;capterra;software;Industrie, Agrar & Energie;Gartenbau Software;gartenbau-software
gartencenter-softwareloesungen;Gartencenter Softwarelösungen;1;capterra;software;Industrie, Agrar & Energie;Gartencenter Softwarelösungen;gartencenter-softwareloesungen
gastronomie-software;Gastronomie Software;1;capterra;software;Gastro, Hotel & Freizeit;Gastronomie Software;gastronomie-software
gastronomy;Gastronomy;3;omr;software;Gastro, Hotel & Freizeit;Gastronomie;gastronomie
gebaeudeinstandhaltung-software;Gebäudeinstandhaltung Software;1;capterra;software;Produktion & Supply Chain;Gebäudeinstandhaltung Software;gebaeudeinstandhaltung-software
gebaeudemanagement-software-fuer-schulen;Gebäudemanagement-Software für Schulen;1;capterra;software;Bildung & Bildungsträger;Gebäudemanagement-Software für Schulen;gebaeudemanagement-software-fuer-schulen
gefaengnismanagement-software;Gefängnismanagement Software;1;capterra;software;Öffentlicher Sektor & Sicherheit;Gefängnismanagement Software;gefaengnismanagement-software
geldwechsel-software;Geldwechsel Software;1;capterra;software;Weitere Branchen;Geldwechsel Software;geldwechsel-software
genehmigungsmanagement-software;Genehmigungsmanagement Software;1;capterra;software;Weitere Software;Genehmigungsmanagement Software;genehmigungsmanagement-software
generative-engine-optimization-geo;Generative Engine Optimization Geo;2;omr;software;KI & Automatisierung;Generative Engine Optimization;generative-engine-optimization-geo
generative-ki-tools;Generative KI-Tools;2;capterra;software;KI & Automatisierung;Generative KI-Tools;generative-ki-tools
gesichtserkennung-software;Gesichtserkennung Software;1;capterra;software;KI & Automatisierung;Gesichtserkennung Software;gesichtserkennung-software
gesundheitssoftware;Gesundheitssoftware;1;capterra;software;Gesundheit & Pflege;Gesundheitssoftware;gesundheitssoftware
gis-software;GIS-Software;1;capterra;software;Weitere Software;GIS-Software;gis-software
golfplatz-software;Golfplatz Software;1;capterra;software;Gastro, Hotel & Freizeit;Golfplatz Software;golfplatz-software
google-ads-agencies;Google Ads Agencies;3;omr;dienstleister;;Google Ads Agencies;google-ads-agencies
gottesdienst-praesentationssoftware;Gottesdienst Präsentationssoftware;1;capterra;software;Non-Profit, Kirche & Verein;Gottesdienst Präsentationssoftware;gottesdienst-praesentationssoftware
governance-risk-compliance;Governance Risk Compliance;3;omr;software;IT, Security & Infrastruktur;Governance, Risiko und Compliance;governance-risiko-und-compliance
gps-software;GPS-Software;1;capterra;software;Produktion & Supply Chain;GPS-Software;gps-software
grafiksoftware-und-bildbearbeitungsprogramme;Grafiksoftware und Bildbearbeitungsprogramme;1;beide;software;Design & Kreativ;Grafiksoftware und Bildbearbeitungsprogramme;grafiksoftware-und-bildbearbeitungsprogramme
grc-tools;GRC-Tools;2;beide;software;Weitere Software;GRC-Tools;grc-tools
grosshandel-erp;Grosshandel ERP;2;omr;software;Industrie, Agrar & Energie;ERP für den Großhandel;erp-fuer-den-grosshandel
grundrissplaner;Grundrissplaner;3;capterra;software;Bau & Handwerk;Grundrissplaner;grundrissplaner
gymnastik-software;Gymnastik Software;1;capterra;software;Gastro, Hotel & Freizeit;Gymnastik Software;gymnastik-software
handwerk-erp;Handwerk ERP;2;omr;software;Bau & Handwerk;ERP für das Handwerk;erp-fuer-das-handwerk
handwerkersoftware;Handwerkersoftware;1;beide;software;Bau & Handwerk;Handwerkersoftware;handwerkersoftware
handwerkersoftware-fuer-sicherheitstechnik;Handwerkersoftware für Sicherheitstechnik;1;capterra;software;Bau & Handwerk;Handwerkersoftware für Sicherheitstechnik;handwerkersoftware-fuer-sicherheitstechnik
haushaltsservice-software;Haushaltsservice Software;1;capterra;software;Weitere Branchen;Haushaltsservice Software;haushaltsservice-software
hausmeister-software;Hausmeister Software;1;capterra;software;Weitere Branchen;Hausmeister Software;hausmeister-software
hausplaner-software;Hausplaner Software;1;capterra;software;Bau & Handwerk;Hausplaner Software;hausplaner-software
hausverwaltungssoftware;Hausverwaltungssoftware;1;capterra;software;Immobilien;Hausverwaltungssoftware;hausverwaltungssoftware
hauswartung-software;Hauswartung Software;1;capterra;software;Weitere Branchen;Hauswartung Software;hauswartung-software
headless-cms;Headless CMS;2;omr;software;Website & Content;Headless CMS;headless-cms
headless-cms-tools;Headless-CMS-Tools;2;capterra;software;Website & Content;Headless-CMS-Tools;headless-cms-tools
headless-e-commerce-plattformen;Headless E-Commerce-Plattformen;2;capterra;software;E-Commerce & Handel;Headless E-Commerce-Plattformen;headless-e-commerce-plattformen
heatmap-tools;Heatmap Tools;2;beide;software;Website & Content;Heatmap Tools;heatmap-tools
hedge-fund-software;Hedge-Fund Software;1;capterra;software;Finanzen & Buchhaltung;Hedge-Fund Software;hedge-fund-software
help-desk-software;Help-Desk-Software;1;capterra;software;Projekte & Zusammenarbeit;Help-Desk-Software;help-desk-software
helpdesk;Helpdesk;3;omr;software;Kommunikation & Support;Helpdesk;helpdesk
hipaa-compliance-software;HIPAA-Compliance Software;1;capterra;software;Gesundheit & Pflege;HIPAA-Compliance Software;hipaa-compliance-software
hobby-und-freizeit-software;Hobby und Freizeit Software;1;capterra;software;Gastro, Hotel & Freizeit;Hobby und Freizeit Software;hobby-und-freizeit-software
hochschulsoftware;Hochschulsoftware;1;capterra;software;Bildung & Bildungsträger;Hochschulsoftware;hochschulsoftware
home-office-software;Home Office Software;1;capterra;software;Weitere Software;Home Office Software;home-office-software
hospizsoftware;Hospizsoftware;1;capterra;software;Gesundheit & Pflege;Hospizsoftware;hospizsoftware
hostel-software;Hostel Software;1;capterra;software;Gastro, Hotel & Freizeit;Hostel Software;hostel-software
hotelsoftware;Hotelsoftware;1;capterra;software;Gastro, Hotel & Freizeit;Hotelsoftware;hotelsoftware
hr-analytics-software;HR Analytics Software;1;beide;software;Personal & HR;HR Analytics Software;hr-analytics-software
hr-business-partner;HR Business Partner;3;omr;dienstleister;;HR Business Partner;hr-business-partner
hr-management;HR Management;2;omr;software;Personal & HR;Personalmanagement;personalmanagement
hr-service-delivery;HR Service Delivery;3;omr;software;Personal & HR;HR-Serviceportale;hr-serviceportale
hr-software;HR Software;1;capterra;software;Personal & HR;HR Software;hr-software
hr-workflow-management;HR Workflow Management;2;omr;software;Personal & HR;HR-Workflow-Management;hr-workflow-management
human-resource-management-systems;Human Resource Management Systems;2;omr;software;Weitere Software;Personalmanagement-Systeme;personalmanagement-systeme
hundesalon-software;Hundesalon Software;1;capterra;software;Gastro, Hotel & Freizeit;Hundesalon Software;hundesalon-software
hvac-software;HVAC Software;1;capterra;software;Bau & Handwerk;HVAC Software;hvac-software
hypotheken-software;Hypotheken Software;1;capterra;software;Immobilien;Hypotheken Software;hypotheken-software
iaas-software;IaaS-Software;1;capterra;software;Weitere Software;IaaS-Software;iaas-software
iam-systeme;IAM Systeme;2;capterra;software;IT, Security & Infrastruktur;IAM Systeme;iam-systeme
ide-software;IDE Software;1;capterra;software;IT, Security & Infrastruktur;IDE Software;ide-software
ideenmanagement-software;Ideenmanagement Software;1;capterra;software;Projekte & Zusammenarbeit;Ideenmanagement Software;ideenmanagement-software
identity-management-systeme;Identity Management Systeme;2;capterra;software;IT, Security & Infrastruktur;Identity Management Systeme;identity-management-systeme
imaging-software-datensicherung;Imaging Software (Datensicherung);1;capterra;software;Daten & Analytics;Imaging Software (Datensicherung);imaging-software-datensicherung
immatrikulationssoftware;Immatrikulationssoftware;1;capterra;software;Bildung & Bildungsträger;Immatrikulationssoftware;immatrikulationssoftware
immobilientransaktion-software;Immobilientransaktion Software;1;capterra;software;Immobilien;Immobilientransaktion Software;immobilientransaktion-software
immobilienverwaltungssoftware;Immobilienverwaltungssoftware;1;capterra;software;Immobilien;Immobilienverwaltungssoftware;immobilienverwaltungssoftware
immobilienverwaltungssoftware-fuer-gewerbeobjekte;Immobilienverwaltungssoftware für Gewerbeobjekte;1;capterra;software;Immobilien;Immobilienverwaltungssoftware für Gewerbeobjekte;immobilienverwaltungssoftware-fuer-gewerbeobjekte
impfsoftware;Impfsoftware;1;capterra;software;Gesundheit & Pflege;Impfsoftware;impfsoftware
inbound-call-tracking;Inbound Call Tracking;3;omr;software;Kommunikation & Support;Anruf-Tracking;anruf-tracking
incident-management-tools;Incident-Management-Tools;2;capterra;software;Weitere Software;Incident-Management-Tools;incident-management-tools
influencer-marketing-agencies;Influencer Marketing Agencies;3;omr;dienstleister;;Influencer Marketing Agencies;influencer-marketing-agencies
influencer-plattformen;Influencer Plattformen;2;beide;software;Marketing & SEO;Influencer Plattformen;influencer-plattformen
inkasso-software;Inkasso-Software;1;capterra;software;Finanzen & Buchhaltung;Inkasso-Software;inkasso-software
innovationsmanagement-software;Innovationsmanagement-Software;1;capterra;software;Projekte & Zusammenarbeit;Innovationsmanagement-Software;innovationsmanagement-software
inside-sales-software;Inside-Sales-Software;1;capterra;software;Vertrieb & CRM;Inside-Sales-Software;inside-sales-software
insight-engines;Insight Engines;2;capterra;software;Daten & Analytics;Insight Engines;insight-engines
insolvenzsoftware;Insolvenzsoftware;1;capterra;software;Recht & Kanzlei;Insolvenzsoftware;insolvenzsoftware
inspektionssoftware;Inspektionssoftware;1;capterra;software;IT, Security & Infrastruktur;Inspektionssoftware;inspektionssoftware
installment-payment-and-buy-now-pay-later-bnpl;Installment Payment And Buy Now Pay Later Bnpl;3;omr;software;Finanzen & Buchhaltung;Ratenzahlung und Buy Now, Pay Later;ratenzahlung-und-buy-now-pay-later
instandhaltungssoftware;Instandhaltungssoftware;1;capterra;software;IT, Security & Infrastruktur;Instandhaltungssoftware;instandhaltungssoftware
instant-messaging;Instant Messaging;3;omr;software;Kommunikation & Support;Instant Messaging;instant-messaging
integration-brokerage;Integration Brokerage;3;omr;software;KI & Automatisierung;Integrations-Brokerage;integrations-brokerage
integrationssoftware;Integrationssoftware;1;capterra;software;KI & Automatisierung;Integrationssoftware;integrationssoftware
integrierte-analysesoftware;Integrierte Analysesoftware;1;capterra;software;Daten & Analytics;Integrierte Analysesoftware;integrierte-analysesoftware
intelligent-document-processing-idp;Intelligent Document Processing IDP;3;omr;software;Weitere Software;Intelligente Dokumentenverarbeitung;intelligente-dokumentenverarbeitung
interne-kommunikation-tools;Interne Kommunikation Tools;2;capterra;software;Weitere Software;Interne Kommunikation Tools;interne-kommunikation-tools
intranet-software;Intranet Software;1;capterra;software;Projekte & Zusammenarbeit;Intranet Software;intranet-software
inventarisierungssoftware;Inventarisierungssoftware;1;capterra;software;IT, Security & Infrastruktur;Inventarisierungssoftware;inventarisierungssoftware
inventarisierungssoftware-fuer-medizinprodukte;Inventarisierungssoftware für Medizinprodukte;1;capterra;software;Gesundheit & Pflege;Inventarisierungssoftware für Medizinprodukte;inventarisierungssoftware-fuer-medizinprodukte
invoice-management;Invoice Management;2;omr;software;Finanzen & Buchhaltung;Rechnungsmanagement;rechnungsmanagement
iot-analytics-software;IoT-Analytics-Software;1;capterra;software;Daten & Analytics;IoT-Analytics-Software;iot-analytics-software
iot-plattformen;IoT Plattformen;2;capterra;software;IT, Security & Infrastruktur;IoT Plattformen;iot-plattformen
ipaas-software;iPaaS Software;1;beide;software;KI & Automatisierung;iPaaS Software;ipaas-software
ipad-kassensysteme;iPad Kassensysteme;2;capterra;software;Finanzen & Buchhaltung;iPad Kassensysteme;ipad-kassensysteme
issue-tracking-software;Issue Tracking Software;1;capterra;software;IT, Security & Infrastruktur;Issue Tracking Software;issue-tracking-software
it-asset-management-software;IT Asset Management Software;1;beide;software;IT, Security & Infrastruktur;IT Asset Management Software;it-asset-management-software
it-dienstleister-erp;It Dienstleister ERP;2;omr;software;Produktion & Supply Chain;ERP für IT-Dienstleister;erp-fuer-it-dienstleister
it-dokumentationssoftware;IT-Dokumentationssoftware;1;capterra;software;IT, Security & Infrastruktur;IT-Dokumentationssoftware;it-dokumentationssoftware
it-management-software;IT-Management-Software;1;capterra;software;IT, Security & Infrastruktur;IT-Management-Software;it-management-software
it-projektmanagement-software;IT-Projektmanagement Software;1;capterra;software;Projekte & Zusammenarbeit;IT-Projektmanagement Software;it-projektmanagement-software
it-risk-management;It Risk Management;2;omr;software;IT, Security & Infrastruktur;IT-Risikomanagement;it-risikomanagement
it-server-und-netzwerk-tools;IT-, Server- und Netzwerk Tools;2;capterra;software;IT, Security & Infrastruktur;IT-, Server- und Netzwerk Tools;it-server-und-netzwerk-tools
it-service-management-itsm;It Service Management ITSM;2;omr;software;IT, Security & Infrastruktur;IT-Service-Management;it-service-management-itsm
it-service-software;IT-Service-Software;1;capterra;software;IT, Security & Infrastruktur;IT-Service-Software;it-service-software
it-services;It Services;3;omr;dienstleister;;It Services;it-services
it-ticketsysteme;IT Ticketsysteme;2;capterra;software;Kommunikation & Support;IT Ticketsysteme;it-ticketsysteme
itdr-software;ITDR-Software;1;capterra;software;Weitere Software;ITDR-Software;itdr-software
itsm-tools;ITSM Tools;2;capterra;software;IT, Security & Infrastruktur;ITSM Tools;itsm-tools
ivr-software;IVR Software;1;capterra;software;Kommunikation & Support;IVR Software;ivr-software
iwms-software;IWMS Software;1;capterra;software;Produktion & Supply Chain;IWMS Software;iwms-software
java-cms-software;Java CMS Software;1;capterra;software;Bau & Handwerk;Java CMS Software;java-cms-software
jobboerse-software;Jobbörse Software;1;capterra;software;Personal & HR;Jobbörse Software;jobboerse-software
juristische-software;Juristische Software;1;capterra;software;Recht & Kanzlei;Juristische Software;juristische-software
juwelier-software;Juwelier-Software;1;capterra;software;Weitere Branchen;Juwelier-Software;juwelier-software
kalender-software;Kalender Software;1;beide;software;Projekte & Zusammenarbeit;Kalender Software;kalender-software
kalibriersoftware;Kalibriersoftware;1;capterra;software;Produktion & Supply Chain;Kalibriersoftware;kalibriersoftware
kalkulationssoftware;Kalkulationssoftware;1;capterra;software;Finanzen & Buchhaltung;Kalkulationssoftware;kalkulationssoftware
kalkulationssoftware-fuer-erdarbeiten;Kalkulationssoftware für Erdarbeiten;1;capterra;software;Bau & Handwerk;Kalkulationssoftware für Erdarbeiten;kalkulationssoftware-fuer-erdarbeiten
kampagnen-software-fuer-politische-kampagnen;Kampagnen-Software für politische Kampagnen;1;capterra;software;Marketing & SEO;Kampagnen-Software für politische Kampagnen;kampagnen-software-fuer-politische-kampagnen
kampagnenmanagement-tools;Kampagnenmanagement Tools;2;capterra;software;Marketing & SEO;Kampagnenmanagement Tools;kampagnenmanagement-tools
kanban-tools;Kanban Tools;2;capterra;software;Projekte & Zusammenarbeit;Kanban Tools;kanban-tools
kanzleisoftware;Kanzleisoftware;1;beide;software;Recht & Kanzlei;Kanzleisoftware;kanzleisoftware
kapazitaetsplanung-software;Kapazitätsplanung Software;1;capterra;software;Produktion & Supply Chain;Kapazitätsplanung Software;kapazitaetsplanung-software
karrieremanagement-software;Karrieremanagement-Software;1;capterra;software;Personal & HR;Karrieremanagement-Software;karrieremanagement-software
kassensysteme;Kassensysteme;2;beide;software;Finanzen & Buchhaltung;Kassensysteme;kassensysteme
kassensysteme-fuer-bars;Kassensysteme für Bars;2;capterra;software;Finanzen & Buchhaltung;Kassensysteme für Bars;kassensysteme-fuer-bars
kassensysteme-fuer-einzelhandel;Kassensysteme für Einzelhandel;2;capterra;software;Finanzen & Buchhaltung;Kassensysteme für Einzelhandel;kassensysteme-fuer-einzelhandel
kassensysteme-fuer-gastronomie;Kassensysteme für Gastronomie;2;capterra;software;Gastro, Hotel & Freizeit;Kassensysteme für Gastronomie;kassensysteme-fuer-gastronomie
kassensysteme-fuer-spirituosengeschaefte;Kassensysteme für Spirituosengeschäfte;2;capterra;software;Finanzen & Buchhaltung;Kassensysteme für Spirituosengeschäfte;kassensysteme-fuer-spirituosengeschaefte
katalogsoftware;Katalogsoftware;1;capterra;software;E-Commerce & Handel;Katalogsoftware;katalogsoftware
keyword;Keyword;3;omr;software;Marketing & SEO;Keywords;keywords
keyword-mapping;Keyword Mapping;3;omr;software;Marketing & SEO;Keyword-Mapping;keyword-mapping
keyword-monitoring;Keyword Monitoring;3;omr;software;Marketing & SEO;Keyword-Überwachung;keyword-ueberwachung
keyword-rank-tracking;Keyword Rank Tracking;3;omr;software;Marketing & SEO;Ranking-Überwachung;ranking-ueberwachung
keyword-research;Keyword Research;3;omr;software;Marketing & SEO;Keyword-Recherche;keyword-recherche
kfz-reparatur-software;KFZ Reparatur Software;1;capterra;software;Mobilität & Fahrzeuge;KFZ Reparatur Software;kfz-reparatur-software
kfz-werkstatt-software;KFZ Werkstatt Software;1;capterra;software;Mobilität & Fahrzeuge;KFZ Werkstatt Software;kfz-werkstatt-software
ki-beratung;KI Beratung;3;omr;dienstleister;;KI Beratung;ki-beratung
ki-bild-generatoren;KI-Bild-Generatoren;2;beide;software;Design & Kreativ;KI-Bild-Generatoren;ki-bild-generatoren
ki-code-generatoren;KI-Code-Generatoren;2;capterra;software;KI & Automatisierung;KI-Code-Generatoren;ki-code-generatoren
ki-erkennungssoftware;KI-Erkennungssoftware;1;capterra;software;KI & Automatisierung;KI-Erkennungssoftware;ki-erkennungssoftware
ki-marketing-tools;KI-Marketing-Tools;2;capterra;software;Marketing & SEO;KI-Marketing-Tools;ki-marketing-tools
ki-schreibassistenten;KI-Schreibassistenten;3;beide;software;KI & Automatisierung;KI-Schreibassistenten;ki-schreibassistenten
ki-text-generator;KI Text Generator;2;omr;software;KI & Automatisierung;KI-Textgeneratoren;ki-textgeneratoren
ki-tools;KI Tools;2;capterra;software;KI & Automatisierung;KI Tools;ki-tools
ki-video-generatoren;KI-Video-Generatoren;2;capterra;software;Design & Kreativ;KI-Video-Generatoren;ki-video-generatoren
kiosk-apps-fuer-android;Kiosk Apps für Android;2;capterra;software;Finanzen & Buchhaltung;Kiosk Apps für Android;kiosk-apps-fuer-android
kiosksysteme;Kiosksysteme;2;capterra;software;Finanzen & Buchhaltung;Kiosksysteme;kiosksysteme
kiosksysteme-fuer-ipad;Kiosksysteme für iPad;2;capterra;software;Finanzen & Buchhaltung;Kiosksysteme für iPad;kiosksysteme-fuer-ipad
kirchenbuchhaltung-software;Kirchenbuchhaltung Software;1;capterra;software;Non-Profit, Kirche & Verein;Kirchenbuchhaltung Software;kirchenbuchhaltung-software
kirchensoftware;Kirchensoftware;1;capterra;software;Non-Profit, Kirche & Verein;Kirchensoftware;kirchensoftware
kita-software;KiTa Software;1;capterra;software;Bildung & Bildungsträger;KiTa Software;kita-software
klassenraum-management-software;Klassenraum Management Software;1;capterra;software;Lernen & Events;Klassenraum Management Software;klassenraum-management-software
klickbetrug-software;Klickbetrug Software;1;capterra;software;Marketing & SEO;Klickbetrug Software;klickbetrug-software
kms-software;KMS Software;1;capterra;software;Weitere Software;KMS Software;kms-software
kommunikationsplattformen;Kommunikationsplattformen;2;capterra;software;Weitere Software;Kommunikationsplattformen;kommunikationsplattformen
kommunikationstools-fuer-teams;Kommunikationstools für Teams;2;capterra;software;Weitere Software;Kommunikationstools für Teams;kommunikationstools-fuer-teams
kompensationsmanagement-software;Kompensationsmanagement Software;1;capterra;software;Personal & HR;Kompensationsmanagement Software;kompensationsmanagement-software
konferenz-software;Konferenz Software;1;capterra;software;Kommunikation & Support;Konferenz Software;konferenz-software
konsignationslager-software;Konsignationslager Software;1;capterra;software;Produktion & Supply Chain;Konsignationslager Software;konsignationslager-software
kontaktcenter-software;Kontaktcenter-Software;1;capterra;software;Kommunikation & Support;Kontaktcenter-Software;kontaktcenter-software
kontaktmanagement-software;Kontaktmanagement Software;1;capterra;software;Weitere Software;Kontaktmanagement Software;kontaktmanagement-software
kontraktlogistik-software-3pl;Kontraktlogistik Software (3PL);1;capterra;software;Produktion & Supply Chain;Kontraktlogistik Software (3PL);kontraktlogistik-software-3pl
korrektursoftware;Korrektursoftware;1;capterra;software;Lernen & Events;Korrektursoftware;korrektursoftware
kpi-software;KPI-Software;1;capterra;software;Daten & Analytics;KPI-Software;kpi-software
kraftstoffmanagement-software;Kraftstoffmanagement Software;1;capterra;software;Weitere Software;Kraftstoffmanagement Software;kraftstoffmanagement-software
krankenhausinformationssysteme;Krankenhausinformationssysteme;2;capterra;software;Gesundheit & Pflege;Krankenhausinformationssysteme;krankenhausinformationssysteme
kreditsoftware;Kreditsoftware;1;capterra;software;Finanzen & Buchhaltung;Kreditsoftware;kreditsoftware
kreditvergabesoftware;Kreditvergabesoftware;1;capterra;software;Finanzen & Buchhaltung;Kreditvergabesoftware;kreditvergabesoftware
kundenbindung-software;Kundenbindung-Software;1;capterra;software;Vertrieb & CRM;Kundenbindung-Software;kundenbindung-software
kundenengagement-software;Kundenengagement Software;1;capterra;software;Vertrieb & CRM;Kundenengagement Software;kundenengagement-software
kundenservice-software;Kundenservice Software;1;beide;software;Kommunikation & Support;Kundenservice Software;kundenservice-software
kundensupport-software;Kundensupport Software;1;capterra;software;Kommunikation & Support;Kundensupport Software;kundensupport-software
kundenzufriedenheit-software;Kundenzufriedenheit Software;1;capterra;software;Vertrieb & CRM;Kundenzufriedenheit Software;kundenzufriedenheit-software
kunststoffverarbeitung-erp;Kunststoffverarbeitung ERP;2;omr;software;Bau & Handwerk;ERP für die Kunststoffverarbeitung;erp-fuer-die-kunststoffverarbeitung
kunstverwaltung-software;Kunstverwaltung Software;1;capterra;software;Weitere Branchen;Kunstverwaltung Software;kunstverwaltung-software
kurier-software;Kurier Software;1;capterra;software;Mobilität & Fahrzeuge;Kurier Software;kurier-software
kyc-software;KYC-Software;1;capterra;software;Finanzen & Buchhaltung;KYC-Software;kyc-software
laborinformationssysteme-lis;Laborinformationssysteme (LIS);2;capterra;software;Gesundheit & Pflege;Laborinformationssysteme (LIS);laborinformationssysteme-lis
laborsoftware-fuer-medizin;Laborsoftware für Medizin;1;capterra;software;Gesundheit & Pflege;Laborsoftware für Medizin;laborsoftware-fuer-medizin
lager-logistik-erp;Lager Logistik ERP;2;omr;software;Produktion & Supply Chain;ERP für Lager und Logistik;erp-fuer-lager-und-logistik
lagerverwaltungssoftware;Lagerverwaltungssoftware;1;beide;software;IT, Security & Infrastruktur;Lagerverwaltungssoftware;lagerverwaltungssoftware
landing-page-builders;Landing Page Builders;2;omr;software;Marketing & SEO;Landingpage-Builder;landingpage-builder
landing-page-software;Landing Page Software;1;capterra;software;Marketing & SEO;Landing Page Software;landing-page-software
landmanagement-software;Landmanagement Software;1;capterra;software;Produktion & Supply Chain;Landmanagement Software;landmanagement-software
lasttest-tools;Lasttest-Tools;2;capterra;software;IT, Security & Infrastruktur;Lasttest-Tools;lasttest-tools
lastverteilungsplan-software;Lastverteilungsplan Software;1;capterra;software;Produktion & Supply Chain;Lastverteilungsplan Software;lastverteilungsplan-software
lead-capture-tools;Lead Capture Tools;2;beide;software;Vertrieb & CRM;Lead Capture Tools;lead-capture-tools
lead-generation-tools;Lead Generation Tools;2;beide;software;Vertrieb & CRM;Lead Generation Tools;lead-generation-tools
lead-intelligence;Lead Intelligence;3;omr;software;Vertrieb & CRM;Lead Intelligence;lead-intelligence
lead-management-software;Lead-Management-Software;1;capterra;software;Vertrieb & CRM;Lead-Management-Software;lead-management-software
lead-nurturing-software;Lead Nurturing Software;1;capterra;software;Vertrieb & CRM;Lead Nurturing Software;lead-nurturing-software
learning-experience-platforms-lxp;Learning Experience Platforms LXP;2;omr;software;Lernen & Events;Learning-Experience-Plattformen;learning-experience-plattformen-lxp
learning-experience-plattformen;Learning Experience Plattformen;2;capterra;software;Lernen & Events;Learning Experience Plattformen;learning-experience-plattformen
learning-management-systems;Learning Management Systems;2;omr;software;Lernen & Events;Lernmanagement-Systeme;lernmanagement-systeme
